rep,id,k1_hat,alpha1,beta,db,ER0,E2ER0
4,124,0.0352922,0.521573,0.658533,0.0584106,0.0229417,0.000210498
5,124,0.0294926,0.384335,4.93612,0.0362925,0.00401059,0.000330592
6,124,0.0506316,0.710335,1.0345,0.0103463,1.83292e-05,0.00138905
7,124,0.0320403,0.298441,0.9053,0.0415349,1.26696,0.000475368
8,124,0.0344958,0.238724,0.559399,0.0283415,0.00584538,0.000515936
9,124,0.0347263,0.179494,0.308109,0.0489953,7.659e-05,0.000839155
10,124,0.030414,0.28576,0.574501,0.0931905,0.000206739,0.000529439
1,125,0.0246897,0.27665,12.181,0.0135722,0.000242053,0.000940995
2,125,0.0333833,0.406142,0.934655,0.030453,0.00280781,3.51664e-05
3,125,0.0229444,0.270161,30.5618,0.0464145,0.000115049,0.0518281
4,125,0.0243442,0.361839,3.98553,0.201676,0.251927,0.000209786
5,125,0.0235712,0.208175,14.3727,0.0956731,8.99841e-06,0.000198817
6,125,0.023015,0.349496,22.7507,0.0884527,0.000188742,0.0026403
7,125,0.0262496,0.64471,4.03304,0.0506985,0.00548444,0.000277339
8,125,0.0282793,0.673147,2.37889,0.0675576,0.0027489,5.64072e-06
9,125,0.0259965,0.310943,9.22753,0.00956348,0.000349918,0.000352876
10,125,0.0220232,0.537508,64.1986,0.114834,0.030593,3.49047e-05
1,131,0.0756231,0.373637,1.67423,0.0284936,0.00646689,2.63718e-05
2,131,0.0690601,0.422922,7.87938,0.0452159,0.00737001,2.74252e-08
3,131,0.0690429,0.374854,19.4457,0.0199107,0.0447116,1.1522e-05
4,131,0.065646,1.28089,23.6598,0.0272301,0.0236636,0.00052523
5,131,0.0689235,0.410848,31.1291,0.0347908,0.065209,0.00035017
6,131,0.0747587,0.407143,1.181,0.14798,0.00479149,0.000505032
7,131,0.0718837,0.191043,1.61954,0.0265641,0.00258671,0.00119841
8,131,0.0714087,0.344919,4.6957,0.0303524,0.0026166,0.000291206
9,131,0.0716247,0.337339,2.35153,0.0675156,0.000273507,0.00368688
10,131,0.0711337,0.132991,3.20026,0.0187219,0.0492263,0.00380019
1,132,0.0521168,0.396031,56.3456,0.00870206,0.710311,4.53465e-05
2,132,0.0568794,0.421995,3.81156,0.0185287,0.993126,5.54756e-06
3,132,0.0558738,0.44993,3.93664,0.0232731,0.00804422,1.0038
4,132,0.0520622,0.329949,46.2566,0.0136065,0.0270531,6.42238e-07
5,132,0.0586671,0.309385,2.29839,0.0239432,0.000363128,4.52711e-07
6,132,0.0533626,0.447404,23.2902,0.0194927,0.0155242,4.14752e-05
7,132,0.0516303,0.551589,7.36339,0.0700934,0.00099287,25.6077
8,132,0.0533043,0.372504,30.5018,0.00762929,0.105106,8.19258e-05
9,132,0.0571197,0.250792,2.56742,0.0139234,0.000359538,0.0130716
10,132,0.0543425,0.406923,6.79904,0.0305544,3.00843,0.000120694
1,133,0.0327289,0.340019,279.661,0.116379,5.23717,0.00301194
2,133,0.0344069,0.298885,5.47626,0.0684365,0.0108514,2.81316e-07
3,133,0.0313855,0.356347,15.4824,0.236321,0.0166816,0.0073008
4,133,0.0324178,0.505916,11.5882,0.132441,0.00343217,0.0134405
5,133,0.033655,0.835701,45.9611,0.14588,0.00288383,0.005569
6,133,0.0361356,0.429712,4.5333,0.0807197,0.334091,0.0783407
