rep,id,eta_k1_hat,eta_alpha1,eta_beta,eta_db,eta_ER0,eta_E2ER0
4,124,-0.185078,0.379432,-1.91492,0.406659,1.40127,-0.983688
5,124,-0.3646,0.0740965,0.0993999,-0.0692274,-0.342752,-0.532282
6,124,0.175836,0.688319,-1.46326,-1.32421,-5.73095,0.903209
7,124,-0.281747,-0.178844,-1.59667,0.0656941,5.41269,-0.169077
8,124,-0.207903,-0.402108,-2.07807,-0.316513,0.0339628,-0.0871828
9,124,-0.201244,-0.687274,-2.67448,0.230885,-4.30098,0.399229
10,124,-0.333837,-0.222265,-2.05143,0.873807,-3.30799,-0.0613478
1,125,-0.542354,-0.254664,1.00269,-1.05281,-3.15029,0.513772
2,125,-0.240686,0.129286,-1.56476,-0.244654,-0.699284,-2.77307
3,125,-0.615666,-0.278398,1.92257,0.176772,-3.89409,4.52252
4,125,-0.556448,0.0137813,-0.114511,1.64582,3.79745,-0.987078
5,125,-0.588714,-0.539037,1.16815,0.900098,-6.4424,-1.04078
6,125,-0.612594,-0.0209243,1.62741,0.82163,-3.39906,1.54548
7,125,-0.48109,0.591383,-0.102659,0.265058,-0.0297746,-0.707924
8,125,-0.40661,0.634545,-0.630547,0.552141,-0.720487,-4.60315
9,125,-0.49078,-0.137809,0.725012,-1.40289,-2.78175,-0.46705
10,125,-0.656644,0.409525,2.6648,1.08265,1.68908,-2.78054
1,131,0.577022,0.0458666,-0.981828,-0.311158,0.135006,-3.06087
2,131,0.486236,0.16977,0.56707,0.150609,0.26573,-9.92946
3,131,0.485987,0.0491176,1.47045,-0.669582,2.06854,-3.88891
4,131,0.435536,1.2779,1.6666,-0.356517,1.43225,-0.0693298
5,131,0.484257,0.140806,1.94096,-0.111487,2.44591,-0.474747
6,131,0.565525,0.131746,-1.33082,1.33624,-0.164846,-0.108544
7,131,0.526309,-0.624917,-1.01504,-0.381277,-0.781303,0.755582
8,131,0.519679,-0.0341088,0.0494672,-0.247965,-0.769812,-0.659135
9,131,0.5227,-0.0563305,-0.642114,0.551519,-3.02812,1.87937
10,131,0.51582,-0.987134,-0.333948,-0.731143,2.16474,1.90964
1,132,0.204746,0.104074,2.53432,-1.49728,4.83401,-2.51883
2,132,0.292192,0.167575,-0.159141,-0.741518,5.16917,-4.61981
3,132,0.274356,0.231675,-0.126853,-0.51354,0.353266,7.48614
4,132,0.203699,-0.0784785,2.33702,-1.05029,1.56611,-6.77596
5,132,0.323138,-0.142832,-0.664972,-0.485156,-2.74469,-7.12567
6,132,0.228369,0.226044,1.65085,-0.690797,1.01071,-2.60807
7,132,0.195368,0.435386,0.49934,0.58899,-1.73884,10.7252
