k1_hat_pop,1,0.839865,0.872664,-0.903484,nan,0.826672,-0.817835,0.887026,nan,-0.887517,-0.883373,0.860122,-0.236268,-0.8377,nan,0.485115
alpha1_pop,0.839865,1,0.962699,-0.911117,nan,0.945502,-0.92924,0.96192,nan,-0.868544,-0.968103,0.803469,-0.185778,-0.874777,nan,0.488574
beta_pop,0.872664,0.962699,1,-0.975913,nan,0.960375,-0.938386,0.992277,nan,-0.932985,-0.98674,0.892329,-0.191887,-0.921276,nan,0.524819
db_pop,-0.903484,-0.911117,-0.975913,1,nan,-0.926294,0.908593,-0.979956,nan,0.973443,0.969127,-0.947886,0.228626,0.923171,nan,-0.545092
ER0_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
E2ER0_pop,0.826672,0.945502,0.960375,-0.926294,nan,1,-0.929229,0.958821,nan,-0.898639,-0.969894,0.803281,-0.154351,-0.898257,nan,0.492086
omega_k1_hat,-0.817835,-0.92924,-0.938386,0.908593,nan,-0.929229,1,-0.940495,nan,0.872877,0.944048,-0.82012,0.181039,0.865575,nan,-0.485219
omega_alpha1,0.887026,0.96192,0.992277,-0.979956,nan,0.958821,-0.940495,1,nan,-0.937554,-0.991675,0.900631,-0.204704,-0.924365,nan,0.513219
omega_beta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_db,-0.887517,-0.868544,-0.932985,0.973443,nan,-0.898639,0.872877,-0.937554,nan,1,0.939594,-0.940286,0.237407,0.89663,nan,-0.551437
omega_ER0,-0.883373,-0.968103,-0.98674,0.969127,nan,-0.969894,0.944048,-0.991675,nan,0.939594,1,-0.889119,0.207773,0.918313,nan,-0.5113
omega_E2ER0,0.860122,0.803469,0.892329,-0.947886,nan,0.803281,-0.82012,0.900631,nan,-0.940286,-0.889119,1,-0.261294,-0.850497,nan,0.530851
a1,-0.236268,-0.185778,-0.191887,0.228626,nan,-0.154351,0.181039,-0.204704,nan,0.237407,0.207773,-0.261294,1,-0.0594877,nan,-0.125052
b1,-0.8377,-0.874777,-0.921276,0.923171,nan,-0.898257,0.865575,-0.924365,nan,0.89663,0.918313,-0.850497,-0.0594877,1,nan,-0.492943
a2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2,0.485115,0.488574,0.524819,-0.545092,nan,0.492086,-0.485219,0.513219,nan,-0.551437,-0.5113,0.530851,-0.125052,-0.492943,nan,1
