k1_hat_pop,0.0566495,0.571149,1.75973,-2.13926,nan,3.74977,-0.0429522,1.20352,nan,-0.784111,-7.78598,1.63843,-0.0102005,-0.0254576,nan,0.0823566
alpha1_pop,0.571149,8.16365,23.3042,-25.8977,nan,51.4847,-0.585858,15.6676,nan,-9.21163,-102.432,18.373,-0.0962846,-0.319132,nan,0.9957
beta_pop,1.75973,23.3042,71.7798,-82.2541,nan,155.066,-1.7543,47.9242,nan,-29.3412,-309.581,60.5057,-0.294895,-0.996602,nan,3.17152
db_pop,-2.13926,-25.8977,-82.2541,98.9672,nan,-175.618,1.99451,-55.5741,nan,35.9466,357.024,-75.4695,0.412564,1.17262,nan,-3.86787
ER0_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
E2ER0_pop,3.74977,51.4847,155.066,-175.618,nan,363.201,-3.90768,104.167,nan,-63.5714,-684.493,122.521,-0.533583,-2.18577,nan,6.68916
omega_k1_hat,-0.0429522,-0.585858,-1.7543,1.99451,nan,-3.90768,0.0486905,-1.18304,nan,0.714953,7.71413,-1.44834,0.00724627,0.024387,nan,-0.0763689
omega_alpha1,1.20352,15.6676,47.9242,-55.5741,nan,104.167,-1.18304,32.4968,nan,-19.839,-209.344,41.0901,-0.211674,-0.672813,nan,2.08679
omega_beta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_db,-0.784111,-9.21163,-29.3412,35.9466,nan,-63.5714,0.714953,-19.839,nan,13.7786,129.156,-27.934,0.159851,0.424959,nan,-1.46001
omega_ER0,-7.78598,-102.432,-309.581,357.024,nan,-684.493,7.71413,-209.344,nan,129.156,1371.33,-263.512,1.39566,4.34203,nan,-13.5053
omega_E2ER0,1.63843,18.373,60.5057,-75.4695,nan,122.521,-1.44834,41.0901,nan,-27.934,-263.512,64.0531,-0.379333,-0.869108,nan,3.03039
a1,-0.0102005,-0.0962846,-0.294895,0.412564,nan,-0.533583,0.00724627,-0.211674,nan,0.159851,1.39566,-0.379333,0.0329033,-0.00137777,nan,-0.0161795
b1,-0.0254576,-0.319132,-0.996602,1.17262,nan,-2.18577,0.024387,-0.672813,nan,0.424959,4.34203,-0.869108,-0.00137777,0.0163028,nan,-0.0448935
a2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2,0.0823566,0.9957,3.17152,-3.86787,nan,6.68916,-0.0763689,2.08679,nan,-1.46001,-13.5053,3.03039,-0.0161795,-0.0448935,nan,0.508759
