rep,id,eta_k2,eta_alpha2,eta_d3,eta_alpha3
9,232,-0.443393,-0.127171,-0.947466,8.64408
10,232,-0.224143,-0.20209,-1.48967,24.7611
1,233,0.290051,-0.102905,0.0511463,-0.815035
2,233,0.376022,-0.0206299,1.08886,-8.73041
3,233,0.319735,-0.233141,1.13121,7.64387
4,233,0.408036,0.163858,-1.00919,3.24797
5,233,0.376978,-0.0142099,0.179467,2.11565
6,233,0.481845,0.147974,-0.569331,-13.5827
7,233,0.244861,-0.0787745,-0.770807,-4.62187
8,233,0.384288,-0.0727248,-0.12173,7.77502
9,233,0.343222,-0.108888,2.03092,4.20129
10,233,0.433387,-0.0559129,1.14079,7.72057
1,234,0.598677,-0.0141682,-0.0639913,3.95426
2,234,0.544268,-0.205591,0.924589,8.60689
3,234,0.6159,-0.0394317,0.513848,-10.1289
4,234,0.75931,0.0433026,-0.0356521,8.67949
5,234,0.508709,-0.126742,0.713958,-14.737
6,234,0.757532,0.189379,0.183349,-5.66158
7,234,0.629513,0.0475929,0.15094,-1.6188
8,234,0.42027,-0.286492,0.0554583,7.10175
9,234,0.656962,-0.0371419,1.55133,7.7448
10,234,0.639,0.057688,1.18446,-23.6863
1,235,0.292328,0.0457778,-0.624209,-20.3301
2,235,0.399955,0.062219,0.776771,-18.4127
3,235,0.171774,-0.180704,0.373797,-5.9068
4,235,0.355507,-0.11838,0.0615842,9.10006
5,235,0.12243,-0.0294039,-1.29758,-6.69897
6,235,0.274115,-0.161834,1.62479,-0.729694
7,235,0.12473,-0.226852,0.058969,-17.9442
8,235,0.168444,-0.0938125,-0.622516,-3.88004
9,235,0.398502,0.0636308,1.26355,-1.68397
10,235,0.323087,0.120253,-0.88462,-43.9809
