rep,id,k2,alpha2,d3,alpha3
7,233,0.200305,11.9847,22.7418,4.87987e-07
8,233,0.230274,12.0574,43.5226,0.118115
9,233,0.221009,11.6292,374.629,0.00331326
10,233,0.241862,12.2618,153.823,0.111856
1,234,0.285334,12.7845,46.1095,0.00258804
2,234,0.270224,10.5572,123.916,0.271383
3,234,0.290291,12.4656,82.1756,1.98034e-09
4,234,0.335054,13.5408,47.4349,0.291819
5,234,0.260784,11.4234,100.381,1.97453e-11
6,234,0.334459,15.6705,59.0485,1.7253e-07
7,234,0.294269,13.599,57.1655,9.83161e-06
8,234,0.238711,9.73679,51.9597,0.0602435
9,234,0.302459,12.4942,231.907,0.114599
10,234,0.297074,13.737,160.688,2.5634e-15
1,235,0.210043,13.5743,26.3324,7.35214e-14
2,235,0.23391,13.7994,106.888,5.00157e-13
3,235,0.186188,10.8233,71.4364,1.35011e-07
4,235,0.223741,11.5193,52.279,0.44439
5,235,0.177224,12.5912,13.4291,6.11409e-08
6,235,0.206252,11.0295,249.585,2.39198e-05
7,235,0.177632,10.3352,52.1425,7.99122e-13
8,235,0.185569,11.8058,26.3771,1.02466e-06
9,235,0.233571,13.8189,173.913,9.21131e-06
10,235,0.216604,14.6239,20.2953,0
