id	time	y	ytype
211	17	0	1
211	24	0	1
211	32	0	1
211	39	0	1
211	45	0	1
211	52	0	1
211	62	0	1
211	67	6.3	1
211	73	7.2	1
211	80	15.1	1
211	87	21.2	1
211	95	31.5	1
211	102	88.7	1
211	108	107.6	1
211	115	116.2	1
211	119	116.2	1
211	124	123.9	1
212	17	0	1
212	24	0	1
212	32	0	1
212	39	0	1
212	45	0	1
212	52	0	1
212	62	8	1
212	67	13.2	1
212	73	20.6	1
212	80	33	1
212	87	37	1
212	95	62.5	1
212	102	82.4	1
212	108	120.6	1
212	115	131.3	1
212	119	184.7	1
212	124	182.2	1
213	17	0	1
213	24	0	1
213	32	0	1
213	39	0	1
213	45	0	1
213	52	0	1
213	62	0	1
213	67	8.7	1
213	73	14.2	1
213	80	24.1	1
213	87	66.7	1
213	95	96.8	1
213	102	136.1	1
213	108	294.4	1
213	115	294.9	1
213	119	487.5	1
213	124	491.7	1
214	17	0	1
214	24	0	1
214	32	0	1
214	39	0	1
214	45	0	1
214	52	0	1
214	62	0	1
214	67	4.2	1
214	73	5.3	1
214	80	9.6	1
214	87	11.1	1
214	95	20.5	1
214	102	21.7	1
214	108	34.4	1
214	115	46.2	1
214	119	41.6	1
214	124	49.1	1
215	17	0	1
215	24	0	1
215	32	0	1
215	39	0	1
215	45	0	1
215	52	0	1
215	62	0	1
215	67	0	1
215	73	0	1
215	80	13.6	1
215	87	19.4	1
215	95	26.5	1
215	102	49.8	1
215	108	96.6	1
215	115	169.4	1
215	119	183.9	1
215	124	200	1
221	17	0	3
221	24	0	3
221	32	0	3
221	39	0	3
221	45	0	3
221	52	0	3
221	62	0	3
221	67	6.6	3
221	73	12.3	3
221	80	14.8	3
221	87	8.1	3
221	95	13.4	3
221	102	18.4	3
221	108	23.6	3
221	115	32.6	3
221	123	35.11	3
221	130	43.8	3
221	137	50.6	3
221	144	66	3
221	151	117.5	3
221	158	137.9	3
222	17	0	3
222	24	0	3
222	32	0	3
222	39	0	3
222	45	0	3
222	52	0	3
222	62	0	3
222	67	0	3
222	73	0	3
222	80	8.3	3
222	87	10.6	3
222	95	8.4	3
222	102	8.7	3
222	108	10.3	3
222	115	10.3	3
222	123	8.83	3
222	130	13.6	3
222	137	15.5	3
222	144	11.1	3
222	151	14.1	3
222	158	14.1	3
223	17	0	3
223	24	0	3
223	32	0	3
223	39	0	3
223	45	0	3
223	52	0	3
223	62	0	3
223	67	4.3	3
223	73	5.8	3
223	80	6.6	3
223	87	5.4	3
223	95	6.4	3
223	102	7.2	3
223	108	27.2	3
223	115	12.6	3
223	123	29.04	3
223	130	35.1	3
223	137	43.6	3
223	144	56.9	3
223	151	83.1	3
223	158	100.7	3
224	17	0	3
224	24	0	3
224	32	0	3
224	39	0	3
224	45	0	3
224	52	0	3
224	62	9	3
224	67	10.3	3
224	73	18.8	3
224	80	22.1	3
224	87	24.7	3
224	95	27.9	3
224	102	33.3	3
224	108	47.6	3
224	115	82.4	3
224	123	75.48	3
224	130	59.7	3
224	137	75.6	3
224	144	83.6	3
224	151	134.4	3
224	158	232.3	3
225	17	0	3
225	24	0	3
225	32	0	3
225	39	0	3
225	45	0	3
225	52	5.1	3
225	62	4.8	3
225	67	6.3	3
225	73	6.9	3
225	80	8.4	3
225	87	8.1	3
225	95	12.7	3
225	102	14.1	3
225	108	29	3
225	115	33.9	3
225	123	35.11	3
225	130	51.7	3
225	137	62.1	3
225	144	73.9	3
225	151	84.8	3
225	158	120.4	3
231	17	0	4
231	24	0	4
231	32	0	4
231	39	0	4
231	45	3.8	4
231	52	4.4	4
231	62	4.4	4
231	67	3.8	4
231	73	4	4
231	80	5.8	4
231	87	8.5	4
231	95	14.6	4
231	102	21.8	4
231	108	52.7	4
231	115	62.7	4
231	119	88.5	4
231	119	0.5	2
232	17	0	4
232	24	0	4
232	32	0	4
232	39	0	4
232	45	0	4
232	52	0	4
232	62	0	4
232	67	4.4	4
232	73	5.1	4
232	80	8.7	4
232	87	9.5	4
232	95	11.9	4
232	102	12.8	4
232	108	14.1	4
232	115	8.8	4
232	119	8.8	4
232	119	0.5	2
233	17	0	4
233	24	0	4
233	32	0	4
233	39	4	4
233	45	4.2	4
233	52	5.1	4
233	62	9.9	4
233	67	8.8	4
233	73	14.1	4
233	80	14.4	4
233	87	20.4	4
233	95	23.7	4
233	102	72.3	4
233	108	162	4
233	115	239.8	4
233	119	263	4
233	119	0.5	2
234	17	0	4
234	24	4.2	4
234	32	4.4	4
234	39	9.6	4
234	45	9.9	4
234	52	9.9	4
234	62	13.2	4
234	67	16.6	4
234	73	19.4	4
234	80	27.2	4
234	87	39.3	4
234	95	60.4	4
234	102	177.8	4
234	108	443.5	4
234	115	663.5	4
234	119	692.4	4
234	119	0.5	2
235	17	0	4
235	24	0	4
235	32	0	4
235	39	4.4	4
235	45	4.8	4
235	52	5.1	4
235	62	5.8	4
235	67	7.5	4
235	73	9.9	4
235	80	16	4
235	87	24.5	4
235	95	32.2	4
235	102	62.8	4
235	108	106.1	4
235	115	154.8	4
235	119	206.4	4
235	119	0.5	2
